CO_PROCEDIMENTO,CO_CID,ST_PRINCIPAL,DT_COMPETENCIA
0201010135,M471,S,202306
0201010135,M472,S,202306
0201010135,M478,S,202306
0201010135,M479,S,202306
0201010135,M480,S,202306
0201010135,M481,S,202306
0201010135,M482,S,202306
0201010135,M483,S,202306
0201010135,M484,S,202306
0201010135,M485,S,202306
0201010135,M488,S,202306
0201010135,M490,S,202306
0201010135,M491,S,202306
0201010135,M492,S,202306
0201010135,M493,S,202306
0201010135,M494,S,202306
0201010135,M495,S,202306
0201010135,M500,S,202306
0201010135,M501,S,202306
0201010135,M502,S,202306
0201010135,M503,S,202306
0201010135,M508,S,202306
0201010135,M509,S,202306
0201010135,M510,S,202306
0201010135,M511,S,202306
0201010135,M512,S,202306
0201010135,M513,S,202306
0201010135,M518,S,202306
0201010135,M519,S,202306
0201010135,M532,S,202306
0201010135,M800,S,202306
0201010135,M801,S,202306
0201010135,M802,S,202306
0201010135,M803,S,202306
0201010135,M804,S,202306
0201010135,M805,S,202306
0201010135,M808,S,202306
0201010135,M809,S,202306
0201010135,M850,S,202306
0201010135,M851,S,202306
0201010135,M853,S,202306
0201010135,M854,S,202306
0201010135,M855,S,202306
0201010135,M856,S,202306
0201010135,M860,S,202306
0201010135,M861,S,202306
0201010135,M862,S,202306
0201010135,M863,S,202306
0201010135,M864,S,202306
0201010135,M865,S,202306
0201010135,M866,S,202306
0201010135,M870,S,202306
0201010135,M872,S,202306
0201010135,M878,S,202306
0201010135,M891,S,202306
0201010135,M892,S,202306
0201010135,M893,S,202306
0201010135,M895,S,202306
0201010135,M960,S,202306
0201010135,M961,S,202306
0201010135,M962,S,202306
0201010135,M963,S,202306
0201010135,M964,S,202306
0201010135,M965,S,202306
0201010135,M966,S,202306
0201010135,M991,S,202306
0201010135,M992,S,202306
0201010135,M993,S,202306
0201010135,M994,S,202306
0201010135,M995,S,202306
0201010135,M996,S,202306
0201010135,M997,S,202306
0201010135,Q062,S,202306
0201010135,Q063,S,202306
0201010135,Q068,S,202306
0201010135,Q069,S,202306
0201010135,Q760,S,202306
0201010135,Q762,S,202306
0201010135,Q763,S,202306
0201010135,Q764,S,202306
0201010135,Q780,S,202306
0201010135,Q781,S,202306
0201010135,Q782,S,202306
0201010135,Q784,S,202306
0201010135,Q788,S,202306
0201010135,Q789,S,202306
0201010135,Q874,S,202306
0201010135,S122,S,202306
0201010135,S130,S,202306
0201010135,S131,S,202306
0201010135,S220,S,202306
0201010135,S221,S,202306
0201010135,S230,S,202306
